t,n1,n2,n3,oracle_n1,oracle_n2,oracle_n3,error_norm,oracle_error_norm,r1,r2,r3,u1,u2,u3,z1,z2,z3
16.65,60.16592767,63.19733649,63.20002487,60.16592767,63.19733649,63.20002486,0.02971349158,0.02971349128,4.398650643,4.598727931,3.798512861,0.6003990675,0.6003735948,0.6004367535,8.406746785,8.606360344,8.607435696
16.7,60.16568631,63.19712182,63.19976444,60.16568631,63.19712182,63.19976444,0.02929868657,0.02929868621,4.398669951,4.598745104,3.798533695,0.6003933577,0.6003685516,0.6004306354,8.406650244,8.606274478,8.607331526
16.75,60.1654485,63.19690994,63.19950769,60.1654485,63.19690995,63.19950769,0.0288896822,0.02888968179,4.398688977,4.598762055,3.798554235,0.6003877315,0.6003635739,0.6004246035,8.406555117,8.606189727,8.607228826
16.8,60.16521416,63.19670082,63.19925456,60.16521416,63.19670082,63.19925456,0.02848639697,0.02848639651,4.398707724,4.598778784,3.798574485,0.6003821876,0.6003586608,0.6004186568,8.406461382,8.606106078,8.607127575
16.85,60.16498325,63.19649442,63.19900501,60.16498325,63.19649442,63.19900501,0.02808875052,0.02808875004,4.398726197,4.598795296,3.798594449,0.6003767247,0.6003538117,0.600412794,8.406369017,8.606023518,8.607027753
16.9,60.16475571,63.19629071,63.19875897,60.16475571,63.19629071,63.19875897,0.02769666365,0.02769666317,4.398744399,4.598811593,3.798614132,0.6003713417,0.6003490258,0.6004070139,8.406278003,8.605942033,8.606929339
16.95,60.1645315,63.19608965,63.19851641,60.1645315,63.19608966,63.19851641,0.02731005828,0.02731005782,4.398762336,4.598827678,3.798633537,0.6003660374,0.6003443023,0.6004013152,8.406188319,8.605861612,8.606832313
17,60.16431056,63.19589123,63.19827726,60.16431056,63.19589123,63.19827726,0.02692885745,0.02692885703,4.398780011,4.598843552,3.798652669,0.6003608104,0.6003396404,0.6003956969,8.406099943,8.605782241,8.606736655
17.05,60.16409285,63.19569539,63.19804149,60.16409285,63.19569539,63.19804149,0.02655298528,0.02655298493,4.398797429,4.598859219,3.798671531,0.6003556597,0.6003350395,0.6003901578,8.406012857,8.605703907,8.606642346
17.1,60.16387831,63.19550212,63.19780904,60.16387831,63.19550212,63.19780904,0.02618236699,0.02618236673,4.398814592,4.59887468,3.798690127,0.6003505841,0.6003304989,0.6003846967,8.405927041,8.605626599,8.606549365
17.15,60.16366689,63.19531138,63.19757986,60.16366689,63.19531138,63.19757986,0.02581692884,0.0258169287,4.398831505,4.598889939,3.798708461,0.6003455825,0.6003260177,0.6003793126,8.405842476,8.605550304,8.606457694
17.2,60.16345856,63.19512315,63.19735391,60.16345856,63.19512315,63.19735391,0.02545659815,0.02545659815,4.398848172,4.598904998,3.798726537,0.6003406537,0.6003215953,0.6003740043,8.405759142,8.605475009,8.606367315
17.25,60.16325326,63.19493738,63.19713115,60.16325326,63.19493738,63.19713115,0.02510130328,0.02510130342,4.398864596,4.598919859,3.798744358,0.6003357966,0.6003172309,0.6003687707,8.405677022,8.605400703,8.606278208
17.3,60.16305095,63.19475406,63.19691152,60.16305095,63.19475406,63.19691152,0.0247509736,0.02475097387,4.398880781,4.598934525,3.798761929,0.6003310102,0.6003129239,0.6003636108,8.405596096,8.605327373,8.606190356
17.35,60.16285157,63.19457315,63.19669498,60.16285157,63.19457315,63.19669498,0.02440553947,0.02440553988,4.398896731,4.598948998,3.798779252,0.6003262934,0.6003086735,0.6003585235,8.405516347,8.605255009,8.606103741
17.4,60.1626551,63.19439462,63.19648149,60.1626551,63.19439462,63.19648149,0.02406493226,0.02406493279,4.398912448,4.598963281,3.798796331,0.6003216451,0.6003044791,0.6003535079,8.405437758,8.605183597,8.606018345
17.45,60.16246148,63.19421844,63.196271,60.16246148,63.19421844,63.196271,0.02372908429,0.02372908491,4.398927938,4.598977375,3.79881317,0.6003170644,0.60030034,0.6003485627,8.40536031,8.605113126,8.60593415
17.5,60.16227067,63.19404459,63.19606347,60.16227067,63.19404459,63.19606348,0.02339792886,0.02339792953,4.398943203,4.598991283,3.798829772,0.6003125501,0.6002962554,0.6003436872,8.405283986,8.605043585,8.60585114
17.55,60.16208263,63.19387303,63.19585887,60.16208263,63.19387303,63.19585887,0.02307140019,0.02307140088,4.398958246,4.599005008,3.798846141,0.6003081014,0.6002922248,0.6003388802,8.40520877,8.604974962,8.605769297
17.6,60.16189732,63.19370374,63.19565714,60.16189732,63.19370374,63.19565714,0.02274943345,0.0227494341,4.398973071,4.599018551,3.798862279,0.6003037172,0.6002882475,0.6003341408,8.405134645,8.604907246,8.605688605
17.65,60.16171469,63.19353669,63.19545825,60.16171469,63.19353669,63.19545825,0.02243196469,0.02243196526,4.398987681,4.599031915,3.79887819,0.6002993965,0.6002843227,0.600329468,8.405061595,8.604840426,8.605609048
17.7,60.16153471,63.19337185,63.19526215,60.16153471,63.19337185,63.19526215,0.0221189309,0.02211893135,4.399002079,4.599045102,3.798893878,0.6002951384,0.60028045,0.600324861,8.404989603,8.60477449,8.60553061
17.75,60.16135734,63.1932092,63.19506881,60.16135734,63.1932092,63.19506881,0.02181026991,0.02181027022,4.399016269,4.599058114,3.798909345,0.600290942,0.6002766285,0.6003203186,8.404918654,8.604709428,8.605453273
17.8,60.16118253,63.1930487,63.19487819,60.16118253,63.1930487,63.19487819,0.02150592046,0.02150592061,4.399030254,4.599070954,3.798924595,0.6002868063,0.6002728577,0.6003158401,8.404848731,8.604645229,8.605377024
17.85,60.16101026,63.19289033,63.19469024,60.16101026,63.19289033,63.19469024,0.02120582212,0.02120582214,4.399044036,4.599083623,3.798939631,0.6002827304,0.6002691369,0.6003114245,8.404779821,8.604581883,8.605301846
17.9,60.16084047,63.19273407,63.19450493,60.16084047,63.19273407,63.19450493,0.02090991529,0.02090991526,4.399057619,4.599096125,3.798954455,0.6002787135,0.6002654656,0.6003070709,8.404711907,8.604519377,8.605227724
17.95,60.16067314,63.19257988,63.19432223,60.16067314,63.19257988,63.19432223,0.0206181413,0.02061814127,4.399071005,4.599108459,3.798969072,0.6002747546,0.6002618431,0.6003027785,8.404644974,8.604457703,8.605154642
18,60.16050823,63.19242775,63.19414209,60.16050823,63.19242775,63.19414209,0.02033044235,0.0203304423,4.399084198,4.59912063,3.798983482,0.600270853,0.6002582688,0.6002985463,8.404579008,8.60439685,8.605082588
18.05,60.16034569,63.19227764,63.19396449,60.16034569,63.19227764,63.19396449,0.02004676135,0.0200467613,4.399097201,4.599132639,3.798997691,0.6002670076,0.600254742,0.6002943735,8.404513995,8.604336806,8.605011544
18.1,60.16018551,63.19212953,63.19378937,60.16018551,63.19212953,63.19378937,0.01976704206,0.019767042,4.399110016,4.599144487,3.7990117,0.6002632178,0.6002512623,0.6002902593,8.404449921,8.604277563,8.604941498
18.15,60.16002763,63.1919834,63.19361671,60.16002763,63.1919834,63.19361671,0.01949122902,0.01949122897,4.399122646,4.599156178,3.799025513,0.6002594826,0.600247829,0.6002862029,8.404386771,8.60421911,8.604872436
18.2,60.15987203,63.19183922,63.19344648,60.15987203,63.19183922,63.19344648,0.01921926754,0.0192192675,4.399135094,4.599167713,3.799039132,0.6002558013,0.6002444414,0.6002822033,8.404324532,8.604161437,8.604804342
18.25,60.15971868,63.19169696,63.19327864,60.15971868,63.19169696,63.19327864,0.01895110374,0.01895110371,4.399147362,4.599179093,3.799052559,0.600252173,0.6002410992,0.6002782599,8.40426319,8.604104534,8.604737204
18.3,60.15956753,63.19155661,63.19311315,60.15956753,63.19155661,63.19311315,0.01868668446,0.01868668444,4.399159454,4.599190322,3.799065798,0.6002485971,0.6002378015,0.6002743718,8.404202731,8.604048392,8.604671008
18.35,60.15941856,63.19141813,63.19294998,60.15941856,63.19141813,63.19294998,0.0184259573,0.0184259573,4.399171371,4.5992014,3.799078852,0.6002450726,0.600234548,0.6002705383,8.404143144,8.603993001,8.604605741
18.4,60.15927174,63.1912815,63.1927891,60.15927174,63.1912815,63.1927891,0.01816887062,0.01816887061,4.399183117,4.59921233,3.799091722,0.6002415988,0.600231338,0.6002667585,8.404084415,8.60393835,8.604541389
18.45,60.15912703,63.19114671,63.19263047,60.15912703,63.19114671,63.19263047,0.01791537347,0.01791537345,4.399194694,4.599223114,3.799104412,0.6002381751,0.600228171,0.6002630317,8.40402653,8.603884432,8.604477939
18.5,60.1589844,63.19101372,63.19247407,60.1589844,63.19101372,63.19247407,0.01766541564,0.0176654156,4.399206104,4.599233753,3.799116924,0.6002348006,0.6002250464,0.6002593571,8.403969479,8.603831236,8.604415379
18.55,60.15884382,63.19088251,63.19231987,60.15884382,63.19088251,63.19231987,0.01741894762,0.01741894755,4.399217351,4.599244249,3.799129261,0.6002314746,0.6002219637,0.6002557341,8.403913247,8.603778754,8.604353696
18.6,60.15870527,63.19075306,63.19216782,60.15870527,63.19075306,63.19216782,0.01717592059,0.01717592048,4.399228435,4.599254605,3.799141424,0.6002281964,0.6002189224,0.6002521619,8.403857824,8.603726975,8.604292878
18.65,60.1585687,63.19062536,63.19201791,60.1585687,63.19062536,63.19201791,0.01693628644,0.01693628626,4.39923936,4.599264822,3.799153417,0.6002249653,0.6002159219,0.6002486397,8.403803198,8.603675892,8.604232913
18.7,60.15843409,63.19049936,63.19187009,60.15843409,63.19049936,63.19187009,0.01669999769,0.01669999744,4.399250129,4.599274901,3.799165242,0.6002217806,0.6002129617,0.6002451669,8.403749355,8.603625495,8.604173788
18.75,60.15830142,63.19037507,63.19172435,60.15830142,63.19037507,63.19172435,0.01646700757,0.01646700724,4.399260743,4.599284845,3.799176902,0.6002186417,0.6002100413,0.6002417427,8.403696286,8.603575776,8.604115491
18.8,60.15817065,63.19025244,63.19158065,60.15817065,63.19025244,63.19158065,0.01623726994,0.01623726953,4.399271204,4.599294655,3.799188398,0.6002155477,0.6002071602,0.6002383665,8.403643979,8.603526725,8.604058011
18.85,60.15804176,63.19013146,63.19143897,60.15804176,63.19013146,63.19143897,0.01601073932,0.01601073883,4.399281516,4.599304333,3.799199733,0.6002124982,0.6002043179,0.6002350376,8.403592422,8.603478335,8.604001337
18.9,60.15791471,63.19001212,63.19129927,60.15791471,63.19001212,63.19129927,0.01578737086,0.0157873703,4.399291679,4.599313881,3.799210909,0.6002094924,0.6002015138,0.6002317554,8.403541604,8.603430596,8.603945456
18.95,60.15778949,63.18989438,63.19116152,60.15778949,63.18989438,63.19116152,0.01556712036,0.01556711972,4.399301697,4.5993233,3.799221928,0.6002065296,0.6001987475,0.6002285191,8.403491515,8.6033835,8.603890358
19,60.15766606,63.18977822,63.19102571,60.15766606,63.18977823,63.19102571,0.0153499442,0.01534994351,4.399311571,4.599332592,3.799232794,0.6002036094,0.6001960185,0.6002253281,8.403442143,8.60333704,8.603836032
19.05,60.1575444,63.18966364,63.19089179,60.1575444,63.18966364,63.19089179,0.01513579942,0.0151357987,4.399321304,4.599341759,3.799243507,0.6002007309,0.6001933263,0.6002221818,8.403393479,8.603291206,8.603782467
19.1,60.15742448,63.1895506,63.19075975,60.15742448,63.1895506,63.19075975,0.01492464364,0.01492464289,4.399330898,4.599350802,3.79925407,0.6001978937,0.6001906704,0.6002190796,8.403345511,8.60324599,8.603729651
19.15,60.15730628,63.18943909,63.19062956,60.15730628,63.18943909,63.19062956,0.01471643506,0.01471643433,4.399340354,4.599359723,3.799264485,0.600195097,0.6001880504,0.6002160208,8.403298231,8.603201385,8.603677575
19.2,60.15718977,63.18932908,63.1905012,60.15718977,63.18932908,63.1905012,0.0145111325,0.0145111318,4.399349675,4.599368523,3.799274754,0.6001923404,0.6001854658,0.6002130048,8.403251626,8.603157383,8.603626229
19.25,60.15707493,63.18922056,63.19037463,60.15707493,63.18922057,63.19037463,0.01430869534,0.0143086947,4.399358862,4.599377205,3.79928488,0.6001896232,0.6001829161,0.600210031,8.403205689,8.603113976,8.6035756
19.3,60.15696172,63.18911351,63.19024983,60.15696172,63.18911351,63.19024983,0.01410908352,0.01410908298,4.399367918,4.599385769,3.799294864,0.6001869449,0.6001804009,0.6002070989,8.403160408,8.603071155,8.603525681
19.35,60.15685014,63.18900791,63.19012678,60.15685014,63.18900791,63.19012677,0.01391225758,0.01391225715,4.399376845,4.599394217,3.799304708,0.6001843048,0.6001779198,0.6002042077,8.403115775,8.603028914,8.60347646
19.4,60.15674015,63.18890374,63.19000544,60.15674015,63.18890374,63.19000544,0.01371817858,0.0137181783,4.399385644,4.599402551,3.799314414,0.6001817025,0.6001754722,0.6002013571,8.403071779,8.602987245,8.603427928
19.45,60.15663173,63.18880098,63.18988581,60.15663173,63.18880098,63.18988581,0.01352680814,0.01352680802,4.399394318,4.599410772,3.799323985,0.6001791373,0.6001730578,0.6001985463,8.403028412,8.602946141,8.603380075
19.5,60.15652486,63.18869961,63.18976785,60.15652486,63.18869961,63.18976785,0.01333810842,0.01333810848,4.399402867,4.599418881,3.799333422,0.6001766088,0.6001706761,0.6001957748,8.402985664,8.602905593,8.603332891
19.55,60.15641952,63.18859961,63.18965154,60.15641952,63.18859961,63.18965154,0.01315204211,0.01315204235,4.399411295,4.599426881,3.799342726,0.6001741164,0.6001683266,0.6001930421,8.402943526,8.602865595,8.603286368
19.6,60.15631568,63.18850097,63.18953686,60.15631568,63.18850097,63.18953686,0.01296857242,0.01296857286,4.399419602,4.599434772,3.799351901,0.6001716595,0.6001660091,0.6001903477,8.40290199,8.602826139,8.603240495
19.65,60.15621332,63.18840367,63.18942379,60.15621332,63.18840367,63.18942379,0.0127876631,0.01278766371,4.399427791,4.599442556,3.799360947,0.6001692377,0.600163723,0.6001876909,8.402861047,8.602787219,8.603195264
19.7,60.15611242,63.18830769,63.18931229,60.15611243,63.18830769,63.18931229,0.01260927837,0.01260927914,4.399435862,4.599450235,3.799369867,0.6001668505,0.6001614679,0.6001850713,8.402820688,8.602748827,8.603150666
19.75,60.15601296,63.18821302,63.18920235,60.15601297,63.18821301,63.18920236,0.01243338298,0.01243338389,4.399443819,4.599457809,3.799378662,0.6001644972,0.6001592434,0.6001824883,8.402780904,8.602710957,8.603106691
19.8,60.15591492,63.18811963,63.18909396,60.15591492,63.18811962,63.18909396,0.01225994217,0.01225994318,4.399451663,4.59946528,3.799387334,0.6001621776,0.6001570491,0.6001799414,8.402741687,8.6026736,8.603063332
19.85,60.15581828,63.18802751,63.18898707,60.15581828,63.1880275,63.18898707,0.01208892166,0.01208892272,4.399459394,4.59947265,3.799395884,0.6001598909,0.6001548847,0.6001774302,8.402703029,8.602636752,8.603020579
19.9,60.15572301,63.18793664,63.18888168,60.15572301,63.18793664,63.18888169,0.01192028764,0.01192028871,4.399467016,4.599479919,3.799404315,0.6001576369,0.6001527497,0.600174954,8.402664922,8.602600405,8.602978423
19.95,60.1556291,63.187847,63.18877777,60.1556291,63.187847,63.18877777,0.01175400679,0.01175400782,4.399474528,4.59948709,3.799412628,0.600155415,0.6001506437,0.6001725125,8.402627358,8.602564552,8.602936858
20,60.15553653,63.18775859,63.18867531,60.15553653,63.18775859,63.18867531,0.01159004625,0.01159004718,4.399481934,4.599494163,3.799420825,0.6001532247,0.6001485664,0.6001701051,8.402590329,8.602529187,8.602895873
20.05,60.15544527,63.18767138,63.18857428,60.15544527,63.18767138,63.18857428,0.0114283736,0.01142837438,4.399489235,4.599501139,3.799428908,0.6001510655,0.6001465174,0.6001677314,8.402553827,8.602494303,8.602855461
20.1,60.15535531,63.18758536,63.18847466,60.15535532,63.18758536,63.18847466,0.01126895689,0.01126895748,4.399496431,4.599508021,3.799436877,0.6001489371,0.6001444963,0.6001653909,8.402517844,8.602459894,8.602815614
20.15,60.15526664,63.18750051,63.18837644,60.15526664,63.18750051,63.18837644,0.01111176458,0.01111176496,4.399503525,4.599514809,3.799444735,0.600146839,0.6001425027,0.600163083,8.402482373,8.602425954,8.602776325
20.2,60.15517922,63.18741682,63.18827959,60.15517922,63.18741682,63.18827959,0.01095676559,0.01095676577,4.399510519,4.599521505,3.799452483,0.6001447707,0.6001405362,0.6001608075,8.402447407,8.602392477,8.602737584
20.25,60.15509305,63.18733427,63.18818409,60.15509305,63.18733427,63.18818409,0.01080392926,0.01080392928,4.399517412,4.599528109,3.799460123,0.6001427319,0.6001385966,0.6001585637,8.402412938,8.602359456,8.602699385
20.3,60.1550081,63.18725284,63.18808992,60.1550081,63.18725284,63.18808992,0.01065322533,0.01065322528,4.399524208,4.599534623,3.799467656,0.600140722,0.6001366834,0.6001563513,8.402378959,8.602326886,8.602661719
20.35,60.15492436,63.18717253,63.18799708,60.15492436,63.18717253,63.18799708,0.01050462406,0.01050462401,4.399530907,4.599541048,3.799475084,0.6001387407,0.6001347964,0.6001541697,8.402345463,8.60229476,8.60262458
20.4,60.15484181,63.18709331,63.18790553,60.15484181,63.18709331,63.18790553,0.01035809616,0.01035809609,4.399537511,4.599547386,3.799482408,0.6001367875,0.6001329351,0.6001520187,8.402312443,8.602263072,8.60258796
20.45,60.15476043,63.18701517,63.18781525,60.15476043,63.18701517,63.18781525,0.01021361266,0.01021361259,4.399544022,4.599553636,3.79948963,0.6001348621,0.6001310992,0.6001498977,8.402279892,8.602231818,8.602551851
20.5,60.15468021,63.1869381,63.18772624,60.15468021,63.1869381,63.18772624,0.01007114503,0.01007114494,4.399550439,4.599559802,3.799496751,0.600132964,0.6001292884,0.6001478064,8.402247803,8.60220099,8.602516247
20.55,60.15460113,63.18686208,63.18763848,60.15460113,63.18686208,63.18763848,0.009930665108,0.009930665023,4.399556766,4.599565883,3.799503772,0.6001310928,0.6001275023,0.6001457443,8.402216169,8.602170583,8.602481141
20.6,60.15452317,63.18678711,63.18755194,60.15452317,63.18678711,63.18755194,0.009792145147,0.009792145069,4.399563003,4.599571882,3.799510695,0.6001292482,0.6001257406,0.6001437109,8.402184985,8.602140592,8.602446525
20.65,60.15444631,63.18671315,63.18746661,60.15444631,63.18671315,63.18746661,0.009655557784,0.00965555772,4.399569151,4.599577798,3.799517522,0.6001274298,0.6001240031,0.600141706,8.402154243,8.602111011,8.602412392
20.7,60.15437055,63.18664021,63.18738247,60.15437055,63.18664021,63.18738247,0.009520876042,0.009520875995,4.399575212,4.599583633,3.799524253,0.6001256372,0.6001222892,0.6001397291,8.402123938,8.602081834,8.602378737
20.75,60.15429586,63.18656827,63.1872995,60.15429586,63.18656827,63.1872995,0.009388073319,0.00938807329,4.399581188,4.599589389,3.79953089,0.60012387,0.6001205989,0.6001377798,8.402094062,8.602053057,8.602345551
20.8,60.15422223,63.18649731,63.1872177,60.15422223,63.18649731,63.1872177,0.00925712339,0.009257123375,4.399587078,4.599595065,3.799537434,0.6001221279,0.6001189316,0.6001358577,8.40206461,8.602024673,8.602312829
20.85,60.15414964,63.18642732,63.18713704,60.15414964,63.18642732,63.18713704,0.009128000391,0.009128000384,4.399592885,4.599600664,3.799543887,0.6001204105,0.6001172872,0.6001339625,8.402035576,8.601996678,8.602280564
20.9,60.15407809,63.18635829,63.1870575,60.15407809,63.18635829,63.1870575,0.009000678824,0.009000678816,4.399598609,4.599606187,3.79955025,0.6001187174,0.6001156653,0.6001320938,8.402006953,8.601969066,8.602248749
